?? CALL DETAIL RECORDS (CDR),,,
caller_id,receiver_id,duration_sec,timestamp
E009,E011,14,2024-03-13 22:00:00
E010,E011,5,2024-03-13 22:00:00
E009,E010,6,2024-03-13 22:00:00
E009,E010,15,2024-03-13 22:00:00
E010,E011,7,2024-03-13 23:00:00
E014,E018,300,2024-03-14 09:00:00
E010,E011,12,2024-03-14 20:00:00
E009,E010,8,2024-03-14 20:00:00
E009,E010,8,2024-03-14 20:00:00
E009,E011,8,2024-03-14 21:00:00
E010,E011,13,2024-03-14 21:00:00
E009,E011,15,2024-03-14 22:00:00
E009,E010,10,2024-03-14 22:00:00
E009,E011,9,2024-03-14 23:00:00
E010,E011,7,2024-03-14 23:00:00
E009,E011,9,2024-03-14 23:00:00
E018,E017,211,2024-03-15 10:00:00
E019,E015,381,2024-03-15 17:00:00
E010,E011,8,2024-03-15 20:00:00
E010,E011,6,2024-03-15 20:00:00
E009,E010,8,2024-03-15 20:00:00
E009,E010,10,2024-03-15 20:00:00
E009,E010,14,2024-03-15 21:00:00
E009,E011,13,2024-03-15 21:00:00
E009,E010,14,2024-03-15 21:00:00
E009,E010,6,2024-03-15 21:00:00
E009,E011,8,2024-03-15 21:00:00
E010,E011,5,2024-03-15 22:00:00
E009,E010,13,2024-03-15 23:00:00
E009,E011,9,2024-03-15 23:00:00
E016,E014,590,2024-03-16 08:00:00
E016,E019,184,2024-03-16 10:00:00
E019,E014,367,2024-03-16 13:00:00
E020,E017,134,2024-03-16 14:00:00
E016,E020,389,2024-03-16 15:00:00
E020,E018,384,2024-03-16 17:00:00
E014,E016,99,2024-03-17 11:00:00
E016,E018,453,2024-03-17 14:00:00
E014,E013,278,2024-03-18 12:00:00
E020,E018,278,2024-03-18 15:00:00
E014,E013,212,2024-03-19 08:00:00
E020,E017,497,2024-03-19 08:00:00
E017,E013,169,2024-03-19 10:00:00
E017,E014,508,2024-03-19 12:00:00
E019,E016,398,2024-03-19 15:00:00
E019,E013,592,2024-03-19 18:00:00
E017,E014,119,2024-03-20 16:00:00
E016,E017,100,2024-03-21 09:00:00
E014,E013,529,2024-03-21 17:00:00
E019,E018,238,2024-03-21 17:00:00
